collectionevent,Conditionsid,ampm,technique,color,HostPlant,Host.plant.nosp,Transect
20020649,127,all day,pan traps,blue,pantrap,pantrap,T2
20020650,127,all day,pan traps,white,pantrap,pantrap,T1
20020651,127,all day,pan traps,white,pantrap,pantrap,T2
20020652,126,all day,pan traps,yellow,pantrap,pantrap,T1
20020653,126,all day,pan traps,yellow,pantrap,pantrap,T2
20020654,126,all day,pan traps,blue,pantrap,pantrap,T1
20020655,126,all day,pan traps,blue,pantrap,pantrap,T2
20020656,126,all day,pan traps,white,pantrap,pantrap,T1
20020657,126,all day,pan traps,white,pantrap,pantrap,T2
20020658,126,AM,netting,,Brodiaea elegans,Brodiaea elegans,
20020659,126,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020660,126,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20020661,126,AM,netting,,Patrolling,Patrolling,
20020662,126,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20020663,126,PM,netting,,Brodiaea elegans,Brodiaea elegans,
20020664,126,PM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020665,128,all day,pan traps,yellow,pantrap,pantrap,T1
20020666,128,all day,pan traps,yellow,pantrap,pantrap,T2
20020667,128,all day,pan traps,blue,pantrap,pantrap,T1
20020668,128,all day,pan traps,blue,pantrap,pantrap,T2
20020669,128,all day,pan traps,white,pantrap,pantrap,T1
20020670,128,all day,pan traps,white,pantrap,pantrap,T2
20020671,128,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020672,128,AM,netting,,Hypochaeris sp.,,
20020673,128,AM,netting,,Convolvulus arvensis,Convolvulus arvensis,
20020674,128,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20020675,128,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020676,128,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020677,128,PM,netting,,Hypochaeris sp.,,
20020678,129,all day,pan traps,yellow,pantrap,pantrap,T1
20020679,129,all day,pan traps,yellow,pantrap,pantrap,T2
20020680,129,all day,pan traps,blue,pantrap,pantrap,T1
20020681,129,all day,pan traps,blue,pantrap,pantrap,T2
20020682,129,all day,pan traps,white,pantrap,pantrap,T1
20020683,129,all day,pan traps,white,pantrap,pantrap,T2
20020684,129,AM,netting,,Arctostaphylos sp.,Arctostaphylos sp.,
20020685,129,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020686,129,PM,netting,,Brodiaea elegans,Brodiaea elegans,
20020687,129,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020688,129,PM,netting,,Mimulus aurantiacus,Mimulus aurantiacus,
20020689,133,all day,pan traps,yellow,pantrap,pantrap,T1
20020690,133,all day,pan traps,yellow,pantrap,pantrap,T2
20020691,133,all day,pan traps,blue,pantrap,pantrap,T1
20020692,133,all day,pan traps,blue,pantrap,pantrap,T2
20020693,133,all day,pan traps,white,pantrap,pantrap,T1
20020694,133,all day,pan traps,white,pantrap,pantrap,T2
20020695,133,PM,netting,,Heteromeles arbutifolia,Heteromeles arbutifolia,
20020696,132,all day,pan traps,yellow,pantrap,pantrap,T1
20020697,132,all day,pan traps,yellow,pantrap,pantrap,T2
20020698,132,all day,pan traps,blue,pantrap,pantrap,T1
20020699,132,all day,pan traps,blue,pantrap,pantrap,T2
20020700,132,all day,pan traps,white,pantrap,pantrap,T1
20020701,132,all day,pan traps,white,pantrap,pantrap,T2
20020702,132,AM,netting,,Brodiaea elegans,Brodiaea elegans,
20020703,134,PM,netting,,Patrolling,Patrolling,
20020704,134,all day,pan traps,yellow,pantrap,pantrap,T1
20020705,134,all day,pan traps,yellow,pantrap,pantrap,T2
20020706,134,all day,pan traps,blue,pantrap,pantrap,T1
20020707,134,all day,pan traps,blue,pantrap,pantrap,T2
20020708,134,all day,pan traps,white,pantrap,pantrap,T1
20020709,134,all day,pan traps,white,pantrap,pantrap,T2
20020710,135,all day,pan traps,yellow,pantrap,pantrap,T1
20020711,135,all day,pan traps,yellow,pantrap,pantrap,T2
20020712,135,all day,pan traps,blue,pantrap,pantrap,T1
20020713,135,all day,pan traps,blue,pantrap,pantrap,T2
20020714,135,all day,pan traps,white,pantrap,pantrap,T1
20020715,135,all day,pan traps,white,pantrap,pantrap,T2
20020716,96,all day,pan traps,yellow,pantrap,pantrap,T1
20020717,96,all day,pan traps,yellow,pantrap,pantrap,T2
20020718,96,all day,pan traps,blue,pantrap,pantrap,T1
20020719,96,all day,pan traps,blue,pantrap,pantrap,T2
20020720,96,all day,pan traps,white,pantrap,pantrap,T1
20020721,96,all day,pan traps,white,pantrap,pantrap,T2
20020722,96,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020723,96,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020724,96,PM,netting,,Vicia sp.,,
20020725,96,PM,netting,,Lotus purshianus,Lotus purshianus,
20020726,98,AM,netting,,Convolvulus arvensis,Convolvulus arvensis,
20020727,98,AM,netting,,Hemizonia sp.,Hemizonia sp.,
20020728,98,PM,netting,,Asclepias fascicularis,Asclepias fascicularis,
20020729,98,all day,pan traps,yellow,pantrap,pantrap,T1
20020730,98,all day,pan traps,yellow,pantrap,pantrap,T2
20020731,98,all day,pan traps,blue,pantrap,pantrap,T1
20020732,98,all day,pan traps,blue,pantrap,pantrap,T2
20020733,98,all day,pan traps,white,pantrap,pantrap,T1
20020734,98,all day,pan traps,white,pantrap,pantrap,T2
20020735,99,all day,pan traps,yellow,pantrap,pantrap,T1
20020736,99,all day,pan traps,yellow,pantrap,pantrap,T2
20020737,99,all day,pan traps,blue,pantrap,pantrap,T1
20020738,99,all day,pan traps,white,pantrap,pantrap,T1
20020739,99,all day,pan traps,white,pantrap,pantrap,T2
20020740,99,AM,netting,,Aesculus californica,Aesculus californica,
20020741,99,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020742,99,AM,netting,,Brodiaea elegans,Brodiaea elegans,
20020743,99,PM,netting,,Brodiaea elegans,Brodiaea elegans,
20020744,99,PM,netting,,Aesculus californica,Aesculus californica,
20020745,100,all day,pan traps,yellow,pantrap,pantrap,T1
20020746,100,all day,pan traps,yellow,pantrap,pantrap,T2
20020747,100,all day,pan traps,blue,pantrap,pantrap,T1
20020748,100,all day,pan traps,blue,pantrap,pantrap,T2
20020749,100,all day,pan traps,white,pantrap,pantrap,T1
20020750,100,all day,pan traps,white,pantrap,pantrap,T2
20020751,100,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020752,101,all day,pan traps,yellow,pantrap,pantrap,T1
20020753,101,all day,pan traps,yellow,pantrap,pantrap,T2
20020754,101,all day,pan traps,blue,pantrap,pantrap,T1
20020755,101,all day,pan traps,blue,pantrap,pantrap,T2
20020756,101,all day,pan traps,white,pantrap,pantrap,T1
20020757,101,all day,pan traps,white,pantrap,pantrap,T2
20020758,101,AM,netting,,Brodiaea elegans,Brodiaea elegans,
20020759,101,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020760,101,AM,netting,,Patrolling,Patrolling,
20020761,101,AM,netting,,Picris echioides,Picris echioides,
20020762,101,PM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20020763,101,PM,netting,,Brodiaea elegans,Brodiaea elegans,
20020764,101,PM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020765,101,PM,netting,,Patrolling,Patrolling,
20020766,101,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020768,34,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20020769,102,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020770,102,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020771,102,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020772,102,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020773,102,all day,pan traps,yellow,pantrap,pantrap,T1
20020774,102,all day,pan traps,yellow,pantrap,pantrap,T2
20020775,102,all day,pan traps,blue,pantrap,pantrap,T1
20020776,102,all day,pan traps,blue,pantrap,pantrap,T2
20020777,102,all day,pan traps,white,pantrap,pantrap,T1
20020778,102,all day,pan traps,white,pantrap,pantrap,T2
20020779,103,all day,pan traps,yellow,pantrap,pantrap,T1
20020780,103,all day,pan traps,yellow,pantrap,pantrap,T2
20020781,103,all day,pan traps,blue,pantrap,pantrap,T1
20020782,103,all day,pan traps,blue,pantrap,pantrap,T2
20020783,103,all day,pan traps,white,pantrap,pantrap,T1
20020784,103,all day,pan traps,white,pantrap,pantrap,T2
20020785,104,all day,pan traps,yellow,pantrap,pantrap,T1
20020786,104,all day,pan traps,yellow,pantrap,pantrap,T2
20020787,104,all day,pan traps,blue,pantrap,pantrap,T2
20020788,104,all day,pan traps,white,pantrap,pantrap,T1
20020789,104,all day,pan traps,white,pantrap,pantrap,T2
20020790,104,AM,netting,,Patrolling,Patrolling,
20020791,105,all day,pan traps,yellow,pantrap,pantrap,T1
20020792,105,all day,pan traps,yellow,pantrap,pantrap,T2
20020793,105,all day,pan traps,blue,pantrap,pantrap,T1
20020794,105,all day,pan traps,blue,pantrap,pantrap,T2
20020795,105,all day,pan traps,white,pantrap,pantrap,T1
20020796,105,all day,pan traps,white,pantrap,pantrap,T2
20020797,106,all day,pan traps,yellow,pantrap,pantrap,T1
20020798,106,all day,pan traps,yellow,pantrap,pantrap,T2
20020799,106,all day,pan traps,blue,pantrap,pantrap,T1
20020800,106,all day,pan traps,blue,pantrap,pantrap,T2
20020801,106,all day,pan traps,white,pantrap,pantrap,T1
20020802,106,all day,pan traps,white,pantrap,pantrap,T2
20020803,106,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020804,106,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020805,106,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020806,106,PM,netting,,Heteromeles arbutifolia,Heteromeles arbutifolia,
20020807,106,PM,netting,,Asteraceae,,
20020808,107,all day,pan traps,yellow,pantrap,pantrap,T1
20020809,107,all day,pan traps,yellow,pantrap,pantrap,T2
20020810,107,all day,pan traps,blue,pantrap,pantrap,T1
20020811,107,all day,pan traps,blue,pantrap,pantrap,T2
20020812,107,all day,pan traps,white,pantrap,pantrap,T1
20020813,107,all day,pan traps,white,pantrap,pantrap,T2
20020814,107,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020815,107,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020816,107,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020817,107,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020818,107,AM,netting,,Convolvulus arvensis,Convolvulus arvensis,
20020819,107,AM,netting,,Convolvulus arvensis,Convolvulus arvensis,
20020820,107,AM,netting,,Asteraceae,Asteraceae,
20020821,107,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20020822,107,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020823,107,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020824,110,all day,pan traps,yellow,pantrap,pantrap,T1
20020825,110,all day,pan traps,yellow,pantrap,pantrap,T2
20020826,110,all day,pan traps,blue,pantrap,pantrap,T1
20020827,110,all day,pan traps,blue,pantrap,pantrap,T2
20020828,110,all day,pan traps,white,pantrap,pantrap,T1
20020829,110,all day,pan traps,white,pantrap,pantrap,T2
20020830,110,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020831,110,AM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20020832,110,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020833,110,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020834,111,all day,pan traps,yellow,pantrap,pantrap,T1
20020835,111,all day,pan traps,yellow,pantrap,pantrap,T2
20020836,111,all day,pan traps,blue,pantrap,pantrap,T1
20020837,111,all day,pan traps,blue,pantrap,pantrap,T2
20020838,111,all day,pan traps,white,pantrap,pantrap,T1
20020839,111,all day,pan traps,white,pantrap,pantrap,T2
20020840,111,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20020841,112,all day,pan traps,yellow,pantrap,pantrap,T1
20020842,112,all day,pan traps,yellow,pantrap,pantrap,T2
20020843,112,all day,pan traps,blue,pantrap,pantrap,T1
20020844,112,all day,pan traps,blue,pantrap,pantrap,T2
20020845,112,all day,pan traps,white,pantrap,pantrap,T1
20020846,112,all day,pan traps,white,pantrap,pantrap,T2
20020847,113,all day,pan traps,yellow,pantrap,pantrap,T1
20020848,113,all day,pan traps,yellow,pantrap,pantrap,T2
20020849,113,all day,pan traps,blue,pantrap,pantrap,T1
20020850,113,all day,pan traps,blue,pantrap,pantrap,T2
20020851,113,all day,pan traps,white,pantrap,pantrap,T1
20020852,113,all day,pan traps,white,pantrap,pantrap,T2
20020853,113,AM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20020854,113,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020855,113,AM,netting,,Picris echioides,Picris echioides,
20020856,113,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020857,113,AM,netting,,Convolvulus arvensis,Convolvulus arvensis,
20020858,113,AM,netting,,Patrolling,Patrolling,
20020859,113,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020860,113,PM,netting,,Patrolling,Patrolling,
20020861,109,all day,pan traps,yellow,pantrap,pantrap,T1
20020862,109,all day,pan traps,yellow,pantrap,pantrap,T2
20020863,109,all day,pan traps,blue,pantrap,pantrap,T1
20020864,109,all day,pan traps,blue,pantrap,pantrap,T2
20020865,109,all day,pan traps,white,pantrap,pantrap,T1
20020866,109,all day,pan traps,white,pantrap,pantrap,T2
20020867,109,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020868,109,AM,netting,,Hemizonia sp.,Hemizonia sp.,
20020869,109,AM,netting,,Taraxacum officinale,Taraxacum officinale,
20020870,109,AM,netting,,Aesculus californica,Aesculus californica,
20020871,109,PM,netting,,Aesculus californica,Aesculus californica,
20020872,109,PM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20020873,109,PM,netting,,Hemizonia sp.,Hemizonia sp.,
20020874,108,all day,pan traps,yellow,pantrap,pantrap,T1
20020875,108,all day,pan traps,yellow,pantrap,pantrap,T2
20020876,108,all day,pan traps,blue,pantrap,pantrap,T2
20020877,108,all day,pan traps,white,pantrap,pantrap,T1
20020878,108,all day,pan traps,white,pantrap,pantrap,T2
20020879,108,AM,netting,,Taraxacum officinale,Taraxacum officinale,
20020880,108,AM,netting,,Quercus douglasii,Quercus douglasii,
20020881,108,AM,netting,,Mentha pulegium,Mentha pulegium,
20020882,108,AM,netting,,Madia elegans,Madia elegans,
20020883,108,PM,netting,,Patrolling,Patrolling,
20020884,108,PM,netting,,Mentha pulegium,Mentha pulegium,
20020885,108,PM,netting,,Mentha pulegium,Mentha pulegium,
20020886,108,PM,netting,,Madia elegans,Madia elegans,
20020887,136,all day,pan traps,yellow,pantrap,pantrap,T1
20020888,136,all day,pan traps,yellow,pantrap,pantrap,T2
20020889,136,all day,pan traps,blue,pantrap,pantrap,T1
20020890,136,all day,pan traps,blue,pantrap,pantrap,T2
20020891,136,all day,pan traps,white,pantrap,pantrap,T1
20020892,136,all day,pan traps,white,pantrap,pantrap,T2
20020893,136,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020894,136,AM,netting,,Picris echioides,Picris echioides,
20020895,136,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020896,136,AM,netting,,Picris echioides,Picris echioides,
20020897,136,AM,netting,,Cichorium intybus,Cichorium intybus,
20020898,136,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020899,136,AM,netting,,Lactuca serriola,Lactuca serriola,
20020900,136,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020901,136,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020902,136,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020903,136,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020904,136,PM,netting,,Foeniculum vulgare,Foeniculum vulgare,
20020905,136,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020906,137,all day,pan traps,yellow,pantrap,pantrap,T1
20020907,137,all day,pan traps,yellow,pantrap,pantrap,T2
20020908,137,all day,pan traps,blue,pantrap,pantrap,T1
20020909,137,all day,pan traps,blue,pantrap,pantrap,T2
20020910,137,all day,pan traps,white,pantrap,pantrap,T1
20020911,137,all day,pan traps,white,pantrap,pantrap,T2
20020912,137,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020913,137,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020914,137,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020915,137,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020916,137,PM,netting,,Asteraceae,,
20020917,137,PM,netting,,Patrolling,Patrolling,
20020918,137,PM,netting,,Patrolling,Patrolling,
20020919,137,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020920,137,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020921,139,all day,pan traps,yellow,pantrap,pantrap,T1
20020922,139,all day,pan traps,yellow,pantrap,pantrap,T2
20020923,139,all day,pan traps,blue,pantrap,pantrap,T1
20020924,139,all day,pan traps,blue,pantrap,pantrap,T2
20020925,139,all day,pan traps,white,pantrap,pantrap,T1
20020926,139,all day,pan traps,white,pantrap,pantrap,T2
20020927,139,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020928,139,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020929,140,all day,pan traps,yellow,pantrap,pantrap,T1
20020930,140,all day,pan traps,yellow,pantrap,pantrap,T2
20020931,140,all day,pan traps,blue,pantrap,pantrap,T1
20020932,140,all day,pan traps,blue,pantrap,pantrap,T2
20020933,140,all day,pan traps,white,pantrap,pantrap,T1
20020934,140,all day,pan traps,white,pantrap,pantrap,T2
20020935,140,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020936,141,all day,pan traps,yellow,pantrap,pantrap,T1
20020937,141,all day,pan traps,yellow,pantrap,pantrap,T2
20020938,141,all day,pan traps,blue,pantrap,pantrap,T1
20020939,141,all day,pan traps,blue,pantrap,pantrap,T2
20020940,141,all day,pan traps,white,pantrap,pantrap,T1
20020941,141,all day,pan traps,white,pantrap,pantrap,T2
20020942,142,all day,pan traps,yellow,pantrap,pantrap,T1
20020943,142,all day,pan traps,yellow,pantrap,pantrap,T2
20020944,142,all day,pan traps,blue,pantrap,pantrap,T1
20020945,142,all day,pan traps,blue,pantrap,pantrap,T2
20020946,142,all day,pan traps,white,pantrap,pantrap,T1
20020947,142,all day,pan traps,white,pantrap,pantrap,T2
20020948,142,PM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20020949,143,all day,pan traps,yellow,pantrap,pantrap,T1
20020950,143,all day,pan traps,yellow,pantrap,pantrap,T2
20020951,143,all day,pan traps,blue,pantrap,pantrap,T1
20020952,143,all day,pan traps,blue,pantrap,pantrap,T2
20020953,143,all day,pan traps,white,pantrap,pantrap,T1
20020954,143,all day,pan traps,white,pantrap,pantrap,T2
20020955,143,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020956,143,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020957,143,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020958,143,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020959,143,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20020960,143,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020961,143,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020962,143,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20020963,143,PM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20020964,144,all day,pan traps,yellow,pantrap,pantrap,T1
20020965,144,all day,pan traps,yellow,pantrap,pantrap,T2
20020966,144,all day,pan traps,blue,pantrap,pantrap,T1
20020967,144,all day,pan traps,blue,pantrap,pantrap,T2
20020968,144,all day,pan traps,white,pantrap,pantrap,T1
20020969,144,all day,pan traps,white,pantrap,pantrap,T2
20020970,144,AM,netting,,Eremocarpus setigerus,Eremocarpus setigerus,
20020971,144,AM,netting,,Eremocarpus setigerus,Eremocarpus setigerus,
20020972,144,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20020973,144,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20020974,144,PM,netting,,Eremocarpus setigerus,Eremocarpus setigerus,
20020975,144,PM,netting,,Eremocarpus setigerus,Eremocarpus setigerus,
20020976,144,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20020977,145,all day,pan traps,yellow,pantrap,pantrap,T1
20020978,145,all day,pan traps,yellow,pantrap,pantrap,T2
20020979,145,all day,pan traps,white,pantrap,pantrap,T1
20020980,145,all day,pan traps,white,pantrap,pantrap,T2
20020981,145,all day,pan traps,blue,pantrap,pantrap,T1
20020982,145,all day,pan traps,blue,pantrap,pantrap,T2
20020983,145,AM,netting,,Mentha pulegium,Mentha pulegium,
20020984,145,AM,netting,,Madia elegans,Madia elegans,
20020985,145,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020986,145,PM,netting,,Mentha pulegium,Mentha pulegium,
20020987,145,PM,netting,,Madia elegans,Madia elegans,
20020988,146,all day,pan traps,yellow,pantrap,pantrap,T1
20020989,146,all day,pan traps,yellow,pantrap,pantrap,T2
20020990,146,all day,pan traps,blue,pantrap,pantrap,T1
20020991,146,all day,pan traps,blue,pantrap,pantrap,T2
20020992,146,all day,pan traps,white,pantrap,pantrap,T1
20020993,146,all day,pan traps,white,pantrap,pantrap,T2
20020994,146,AM,netting,,Hemizonia sp.,Hemizonia sp.,
20020995,146,AM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20020996,146,AM,netting,,Aesculus californica,Aesculus californica,
20020997,146,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20020998,146,PM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20020999,146,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021000,146,PM,netting,,Hemizonia sp.,Hemizonia sp.,
20021001,147,all day,pan traps,yellow,pantrap,pantrap,T1
20021002,147,all day,pan traps,yellow,pantrap,pantrap,T2
20021003,147,all day,pan traps,blue,pantrap,pantrap,T1
20021004,147,all day,pan traps,blue,pantrap,pantrap,T2
20021005,147,all day,pan traps,white,pantrap,pantrap,T1
20021006,147,all day,pan traps,white,pantrap,pantrap,T2
20021007,147,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021008,147,AM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20021009,147,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20021010,147,AM,netting,,Patrolling,Patrolling,
20021011,147,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021012,147,PM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20021013,147,PM,netting,,Patrolling,Patrolling,
20021014,147,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021015,147,PM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20021016,147,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021017,147,PM,netting,,Patrolling,Patrolling,
20021018,147,PM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20021019,14,all day,pan traps,yellow,pantrap,pantrap,T1
20021020,166,all day,pan traps,white,pantrap,pantrap,T2
20021021,19,AM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20021022,19,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20021023,19,AM,netting,,Vicia sp.,Vicia benghalensis,
20021024,28,AM,netting,,Patrolling,Patrolling,
20021025,19,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20021026,97,all day,pan traps,blue,pantrap,pantrap,T1
20021027,97,all day,pan traps,yellow,pantrap,pantrap,T2
20021028,97,all day,pan traps,blue,pantrap,pantrap,T2
20021029,97,all day,pan traps,white,pantrap,pantrap,T2
20021030,97,all day,pan traps,white,pantrap,pantrap,T1
20021031,97,all day,pan traps,yellow,pantrap,pantrap,T1
20021032,116,all day,pan traps,yellow,pantrap,pantrap,T2
20021033,116,all day,pan traps,blue,pantrap,pantrap,T1
20021034,116,all day,pan traps,white,pantrap,pantrap,T1
20021035,116,all day,pan traps,blue,pantrap,pantrap,T2
20021036,116,all day,pan traps,yellow,pantrap,pantrap,T1
20021037,116,all day,pan traps,white,pantrap,pantrap,T1
20021038,123,all day,pan traps,white,pantrap,pantrap,T2
20021039,123,all day,pan traps,yellow,pantrap,pantrap,T2
20021040,123,all day,pan traps,yellow,pantrap,pantrap,T1
20021041,123,all day,pan traps,white,pantrap,pantrap,T1
20021042,123,all day,pan traps,blue,pantrap,pantrap,T1
20021043,122,all day,pan traps,white,pantrap,pantrap,T1
20021044,122,all day,pan traps,white,pantrap,pantrap,T2
20021045,122,all day,pan traps,yellow,pantrap,pantrap,T1
20021046,122,all day,pan traps,blue,pantrap,pantrap,T2
20021047,122,all day,pan traps,yellow,pantrap,pantrap,T2
20021048,122,all day,pan traps,blue,pantrap,pantrap,T1
20021049,149,all day,pan traps,yellow,pantrap,pantrap,T1
20021050,149,all day,pan traps,yellow,pantrap,pantrap,T2
20021051,149,all day,pan traps,blue,pantrap,pantrap,T1
20021052,149,all day,pan traps,blue,pantrap,pantrap,T2
20021053,149,all day,pan traps,white,pantrap,pantrap,T1
20021054,149,all day,pan traps,white,pantrap,pantrap,T2
20021055,51,PM,netting,,Cirsium vulgare,Cirsium vulgare,
20021056,51,AM,netting,,Cirsium vulgare,Cirsium vulgare,
20021057,30,PM,netting,,Cirsium vulgare,Cirsium vulgare,
20021058,116,PM,netting,,Triteleia laxa,Triteleia laxa,
20021059,54,PM,netting,,Calochortus luteus,Calochortus luteus,
20021060,129,PM,netting,,Arctostaphylos sp.,Arctostaphylos sp.,
20021061,155,AM,netting,,Hemizonia sp.,Hemizonia sp.,
20021062,155,AM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20021063,155,PM,netting,,Hemizonia sp.,Hemizonia sp.,
20021064,155,AM,netting,,Centaurea solstitalis,Centaurea solstitalis,
20021065,155,PM,netting,,Centaurea solstitalis,Centaurea solstitalis,
20021066,122,AM,netting,,Brodiaea elegans,Brodiaea elegans,
20021067,164,PM,netting,,Hemizonia sp.,Hemizonia sp.,
20021068,164,AM,netting,,Hemizonia sp.,Hemizonia sp.,
20021069,164,AM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20021070,164,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021071,97,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021072,97,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021073,97,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021074,97,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021075,97,PM,netting,,Patrolling,Patrolling,
20021076,174,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021077,174,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021078,174,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021079,173,PM,netting,,Perideridia kelloggii,Perideridia kelloggii,
20021080,163,AM,netting,,Hemizonia sp.,Hemizonia sp.,
20021081,163,AM,netting,,Sonchus sp.,Sonchus sp.,
20021082,163,AM,netting,,Mentha pulegium,Mentha pulegium,
20021083,163,AM,netting,,Picris echioides,Picris echioides,
20021084,163,PM,netting,,Mentha pulegium,Mentha pulegium,
20021085,163,PM,netting,,patrolling,patrolling,
20021086,165,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021087,165,PM,netting,,patrolling,patrolling,
20021088,165,PM,netting,,Convolvulus arvensis,Convolvulus arvensis,
20021089,165,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
